# ICMD Log (Filtered - ESC Active Periods Only)
# Original file: ICMD_telemetry_2026-02-13T12-13-07-020.csv
# Filter: ESC throttle > 0% with ±5 second buffer
# Filtered data points: 3873 (from 28678 original)
#
message_count,elapsed_ms,header,temp_mcu,temp_board,temp_dcdc,status,adc_vin_voltage,adc_v5_voltage,adc_batt1_voltage_sw,adc_batt1_current1,adc_batt1_current1_max,adc_batt1_current2,adc_batt1_current2_max,adc_batt2_voltage_sw,adc_batt2_current1,adc_batt2_current1_max,adc_batt2_current2,adc_batt2_current2_max,payload_ctl_pwm,led1_ctl_pwm,led2_ctl_pwm,esc_pwm,errors,e_shuttoff,prog_state,cmd_ack,esc_rpm,esc_current_amps,esc_voltage_volts,esc_temp,esc_motor_temp,batt1_voltage_volts,batt1_current1_amps,batt1_current2_amps,batt2_voltage_volts,batt2_current1_amps,batt2_current2_amps,esc_pwm_percent,esc_pwm_microseconds,elapsed_sec
10122,263366,0xAA,28,24,27,0xC0E0,176,502,294,155,156,154,155,452,476,476,462,462,0,25000,25000,10000,0x1000,0,4,62,0,0.0,95.44,28,0,95.78709677419354,0.0,-0.16129032258064557,147.26451612903224,51.77419354838709,49.51612903225806,0.0,1000.0,263.366
10123,263393,0xAA,28,24,27,0xC0E0,176,502,294,155,156,155,155,452,476,476,462,462,0,25000,25000,10000,0x1000,0,4,62,0,0.0,95.44,28,0,95.78709677419354,0.0,0.0,147.26451612903224,51.77419354838709,49.51612903225806,0.0,1000.0,263.393
10124,263419,0xAA,28,24,27,0xC0E0,176,502,294,155,156,155,155,452,476,476,462,462,0,25000,25000,10000,0x1000,0,4,62,0,0.0,95.44,28,0,95.78709677419354,0.0,0.0,147.26451612903224,51.77419354838709,49.51612903225806,0.0,1000.0,263.419
10125,263445,0xAA,28,24,27,0xC0E0,176,502,294,155,156,155,155,452,476,476,462,462,0,25000,25000,10000,0x1000,0,4,62,0,0.0,95.44,28,0,95.78709677419354,0.0,0.0,147.26451612903224,51.77419354838709,49.51612903225806,0.0,1000.0,263.445
10126,263471,0xAA,28,24,27,0xC0E0,176,502,294,155,156,154,155,452,476,476,462,462,0,25000,25000,10000,0x1000,0,4,62,0,0.0,95.44,28,0,95.78709677419354,0.0,-0.16129032258064557,147.26451612903224,51.77419354838709,49.51612903225806,0.0,1000.0,263.471
10127,263497,0xAA,28,24,27,0xC0E0,176,502,294,155,156,155,155,452,476,476,462,462,0,25000,25000,10000,0x1000,0,4,62,0,0.0,95.44,28,0,95.78709677419354,0.0,0.0,147.26451612903224,51.77419354838709,49.51612903225806,0.0,1000.0,263.497
10128,263523,0xAA,28,24,27,0xC0E0,176,502,294,155,156,155,155,452,476,476,462,462,0,25000,25000,10000,0x1000,0,4,62,0,0.0,95.44,28,0,95.78709677419354,0.0,0.0,147.26451612903224,51.77419354838709,49.51612903225806,0.0,1000.0,263.523
10129,263548,0xAA,28,24,27,0xC0E0,176,502,294,155,156,154,155,452,476,476,462,462,0,25000,25000,10000,0x1000,0,4,62,0,0.0,95.44,28,0,95.78709677419354,0.0,-0.16129032258064557,147.26451612903224,51.77419354838709,49.51612903225806,0.0,1000.0,263.548
10130,263575,0xAA,28,24,27,0xC0E0,176,502,294,155,156,154,155,452,476,476,462,462,0,25000,25000,10000,0x1000,0,4,62,0,0.0,95.44,28,0,95.78709677419354,0.0,-0.16129032258064557,147.26451612903224,51.77419354838709,49.51612903225806,0.0,1000.0,263.575
10131,263601,0xAA,28,24,27,0xC0E0,176,502,294,155,156,154,155,452,476,476,462,462,0,25000,25000,10000,0x1000,0,4,62,0,0.0,95.44,28,0,95.78709677419354,0.0,-0.16129032258064557,147.26451612903224,51.77419354838709,49.51612903225806,0.0,1000.0,263.601
