ESC signal (µs),Thrust (N),RPM
1516.0,267.86,2784.0
1518.0,267.86,2784.0
1520.0,267.86,2784.0
1522.0,271.14,2801.0
1524.0,271.14,2801.0
1526.0,277.57,2834.0
1528.0,277.57,2834.0
1530.0,277.57,2834.0
1532.0,280.91,2851.0
1534.0,280.91,2851.0
1536.0,284.27,2868.0
1538.0,284.27,2868.0
1540.0,284.27,2868.0
1542.0,284.27,2868.0
1544.0,284.27,2868.0
1546.0,284.27,2868.0
1548.0,287.85,2886.0
1550.0,287.85,2886.0
1552.0,291.25,2903.0
1554.0,291.25,2903.0
1556.0,291.25,2903.0
1558.0,298.51,2939.0
1560.0,298.51,2939.0
1562.0,306.08,2976.0
1564.0,306.08,2976.0
1566.0,306.08,2976.0
1568.0,313.74,3013.0
1570.0,313.74,3013.0
1572.0,313.74,3013.0
1574.0,317.92,3033.0
1576.0,317.92,3033.0
1578.0,330.4,3092.0
1580.0,330.4,3092.0
1582.0,334.69,3112.0
1586.0,334.69,3112.0
1588.0,334.69,3112.0
1590.0,334.69,3112.0
1592.0,334.69,3112.0
1594.0,334.69,3112.0
1596.0,334.69,3112.0
1598.0,334.69,3112.0
1600.0,334.69,3112.0
1602.0,334.69,3112.0
1604.0,334.69,3112.0
1606.0,339.01,3132.0
1608.0,339.01,3132.0
1610.0,339.01,3132.0
1612.0,339.01,3132.0
1614.0,339.01,3132.0
1616.0,348.16,3174.0
1618.0,348.16,3174.0
1620.0,348.16,3174.0
1622.0,352.78,3195.0
1624.0,352.78,3195.0
1626.0,352.78,3195.0
1628.0,352.78,3195.0
1630.0,352.78,3195.0
1632.0,357.66,3217.0
1634.0,357.66,3217.0
1636.0,367.51,3261.0
1638.0,367.51,3261.0
1640.0,367.51,3261.0
1642.0,372.71,3284.0
1644.0,372.71,3284.0
1646.0,372.71,3284.0
1650.0,372.71,3284.0
1652.0,372.71,3284.0
1654.0,377.72,3306.0
1654.0,377.72,3306.0
1658.0,377.72,3306.0
1660.0,377.72,3306.0
1662.0,377.72,3306.0
1664.0,377.72,3306.0
1666.0,377.72,3306.0
1668.0,377.72,3306.0
1670.0,377.72,3306.0
1672.0,377.72,3306.0
1674.0,383.23,3330.0
1676.0,383.23,3330.0
1678.0,383.23,3330.0
1680.0,383.23,3330.0
1682.0,383.23,3330.0
1684.0,388.54,3353.0
1686.0,388.54,3353.0
1688.0,388.54,3353.0
1690.0,388.54,3353.0
1692.0,388.54,3353.0
1694.0,388.54,3353.0
1696.0,388.54,3353.0
1698.0,388.54,3353.0
1700.0,394.12,3377.0
1702.0,394.12,3377.0
1704.0,394.12,3377.0
1706.0,394.12,3377.0
1708.0,394.12,3377.0
1710.0,399.74,3401.0
1714.0,399.74,3401.0
1716.0,399.74,3401.0
1718.0,399.74,3401.0
1720.0,399.74,3401.0
1722.0,405.4,3425.0
1724.0,405.4,3425.0
1726.0,405.4,3425.0
1728.0,405.4,3425.0
1730.0,405.4,3425.0
1732.0,405.4,3425.0
1734.0,405.4,3425.0
1736.0,405.4,3425.0
1738.0,405.4,3425.0
1740.0,405.4,3425.0
1742.0,405.4,3425.0
1744.0,411.34,3450.0
1746.0,411.34,3450.0
1748.0,411.34,3450.0
1750.0,411.34,3450.0
1752.0,411.34,3450.0
1754.0,411.34,3450.0
1756.0,411.34,3450.0
1758.0,417.33,3475.0
1760.0,417.33,3475.0
1762.0,417.33,3475.0
1766.0,417.33,3475.0
1766.0,417.33,3475.0
1768.0,417.33,3475.0
1770.0,417.33,3475.0
1772.0,417.33,3475.0
1774.0,417.33,3475.0
1778.0,417.33,3475.0
1780.0,417.33,3475.0
1782.0,423.6,3501.0
1784.0,423.6,3501.0
1786.0,423.6,3501.0
1788.0,423.6,3501.0
1790.0,423.6,3501.0
1792.0,429.91,3527.0
1794.0,429.91,3527.0
1796.0,429.91,3527.0
1798.0,429.91,3527.0
1800.0,429.91,3527.0
1802.0,429.91,3527.0
1804.0,429.91,3527.0
1806.0,436.27,3553.0
1808.0,436.27,3553.0
1810.0,436.27,3553.0
1812.0,436.27,3553.0
1814.0,436.27,3553.0
1816.0,436.27,3553.0
1818.0,436.27,3553.0
1820.0,436.27,3553.0
1822.0,436.27,3553.0
1824.0,436.27,3553.0
1826.0,436.27,3553.0
1828.0,442.93,3580.0
1830.0,442.93,3580.0
1832.0,442.93,3580.0
1834.0,442.93,3580.0
1836.0,442.93,3580.0
1840.0,442.93,3580.0
1842.0,442.93,3580.0
1844.0,449.63,3607.0
1846.0,449.63,3607.0
1848.0,449.63,3607.0
1850.0,449.63,3607.0
1852.0,449.63,3607.0
1854.0,449.63,3607.0
1856.0,449.63,3607.0
1858.0,449.63,3607.0
1860.0,449.63,3607.0
1862.0,449.63,3607.0
1864.0,449.63,3607.0
1866.0,456.64,3635.0
1868.0,456.64,3635.0
1870.0,456.64,3635.0
1872.0,456.64,3635.0
1874.0,456.64,3635.0
1876.0,456.64,3635.0
1878.0,456.64,3635.0
1880.0,463.7,3663.0
1882.0,463.7,3663.0
1884.0,463.7,3663.0
1886.0,463.7,3663.0
1888.0,463.7,3663.0
1890.0,463.7,3663.0
1892.0,463.7,3663.0
1894.0,463.7,3663.0
1896.0,463.7,3663.0
1898.0,463.7,3663.0
1900.0,463.7,3663.0
1902.0,470.82,3691.0
1904.0,470.82,3691.0
1906.0,470.82,3691.0
1908.0,470.82,3691.0
1910.0,470.82,3691.0
1912.0,470.82,3691.0
1914.0,470.82,3691.0
1916.0,470.82,3691.0
1918.0,478.25,3720.0
1920.0,478.25,3720.0
1922.0,478.25,3720.0
1924.0,478.25,3720.0
1928.0,478.25,3720.0
1930.0,478.25,3720.0
1932.0,478.25,3720.0
1934.0,478.25,3720.0
1936.0,478.25,3720.0
1938.0,478.25,3720.0
1940.0,485.73,3749.0
1942.0,485.73,3749.0
1944.0,485.73,3749.0
1946.0,485.73,3749.0
1948.0,485.73,3749.0
1950.0,485.73,3749.0
1952.0,485.73,3749.0
1954.0,485.73,3749.0
1956.0,485.73,3749.0
1958.0,485.73,3749.0
1960.0,493.54,3779.0
1962.0,493.54,3779.0
1964.0,493.54,3779.0
1966.0,493.54,3779.0
1968.0,493.54,3779.0
1970.0,501.41,3809.0
1972.0,501.41,3809.0
1974.0,501.41,3809.0
1976.0,501.41,3809.0
1978.0,501.41,3809.0
1980.0,501.41,3809.0
1982.0,501.41,3809.0
1984.0,501.41,3809.0
1986.0,501.41,3809.0
1988.0,501.41,3809.0
1990.0,501.41,3809.0
1992.0,509.6,3840.0
1994.0,509.6,3840.0
1996.0,509.6,3840.0
1998.0,509.6,3840.0
