# ICMD Log (Filtered - ESC Active Periods Only)
# Original file: ICMD_telemetry_2026-02-13T13-52-13-398.csv
# Filter: ESC throttle > 0% with ±5 second buffer
# Filtered data points: 11974 (from 34692 original)
#
message_count,elapsed_ms,header,temp_mcu,temp_board,temp_dcdc,status,adc_vin_voltage,adc_v5_voltage,adc_batt1_voltage_sw,adc_batt1_current1,adc_batt1_current1_max,adc_batt1_current2,adc_batt1_current2_max,adc_batt2_voltage_sw,adc_batt2_current1,adc_batt2_current1_max,adc_batt2_current2,adc_batt2_current2_max,payload_ctl_pwm,led1_ctl_pwm,led2_ctl_pwm,esc_pwm,errors,e_shuttoff,prog_state,cmd_ack,esc_rpm,esc_current_amps,esc_voltage_volts,esc_temp,esc_motor_temp,batt1_voltage_volts,batt1_current1_amps,batt1_current2_amps,batt2_voltage_volts,batt2_current1_amps,batt2_current2_amps,esc_pwm_percent,esc_pwm_microseconds,elapsed_sec
10680,277886,0xAA,32,27,31,0xC0E0,176,503,309,156,156,154,154,460,483,483,468,469,0,25000,25000,10000,0x1000,0,4,112,0,0.0,100.62,22,0,100.6741935483871,0.1612903225806428,-0.16129032258064557,149.8709677419355,52.9032258064516,50.48387096774193,0.0,1000.0,277.886
10681,277912,0xAA,32,27,31,0xC0E0,176,503,309,156,156,154,154,460,483,483,468,469,0,25000,25000,10000,0x1000,0,4,112,0,0.0,100.62,22,0,100.6741935483871,0.1612903225806428,-0.16129032258064557,149.8709677419355,52.9032258064516,50.48387096774193,0.0,1000.0,277.912
10682,277940,0xAA,32,27,31,0xC0E0,176,503,309,156,156,154,154,460,483,483,468,468,0,25000,25000,10000,0x1000,0,4,112,0,0.0,100.62,22,0,100.6741935483871,0.1612903225806428,-0.16129032258064557,149.8709677419355,52.9032258064516,50.48387096774193,0.0,1000.0,277.94
10683,277964,0xAA,32,27,31,0xC0E0,176,503,309,156,156,154,154,460,483,483,468,469,0,25000,25000,10000,0x1000,0,4,112,0,0.0,100.62,22,0,100.6741935483871,0.1612903225806428,-0.16129032258064557,149.8709677419355,52.9032258064516,50.48387096774193,0.0,1000.0,277.964
10684,277990,0xAA,32,27,31,0xC0E0,176,503,309,156,156,154,154,460,483,483,468,468,0,25000,25000,10000,0x1000,0,4,112,0,0.0,100.62,22,0,100.6741935483871,0.1612903225806428,-0.16129032258064557,149.8709677419355,52.9032258064516,50.48387096774193,0.0,1000.0,277.99
10685,278016,0xAA,32,27,31,0xC0E0,176,503,310,156,156,154,154,460,483,483,468,469,0,25000,25000,10000,0x1000,0,4,112,0,0.0,100.62,22,0,101.0,0.1612903225806428,-0.16129032258064557,149.8709677419355,52.9032258064516,50.48387096774193,0.0,1000.0,278.016
10686,278042,0xAA,32,27,31,0xC0E0,176,503,309,156,156,154,154,460,483,483,468,469,0,25000,25000,10000,0x1000,0,4,112,0,0.0,100.62,22,0,100.6741935483871,0.1612903225806428,-0.16129032258064557,149.8709677419355,52.9032258064516,50.48387096774193,0.0,1000.0,278.042
10687,278072,0xAA,32,27,31,0xC0E0,176,503,310,156,156,154,154,460,483,483,468,469,0,25000,25000,10000,0x1000,0,4,112,0,0.0,100.62,22,0,101.0,0.1612903225806428,-0.16129032258064557,149.8709677419355,52.9032258064516,50.48387096774193,0.0,1000.0,278.072
10688,278095,0xAA,32,27,31,0xC0E0,176,502,310,156,156,154,154,460,483,483,468,469,0,25000,25000,10000,0x1000,0,4,112,0,0.0,100.62,22,0,101.0,0.1612903225806428,-0.16129032258064557,149.8709677419355,52.9032258064516,50.48387096774193,0.0,1000.0,278.095
10689,278120,0xAA,32,27,31,0xC0E0,176,503,309,156,156,154,155,460,483,483,468,469,0,25000,25000,10000,0x1000,0,4,112,0,0.0,100.62,22,0,100.6741935483871,0.1612903225806428,-0.16129032258064557,149.8709677419355,52.9032258064516,50.48387096774193,0.0,1000.0,278.12
