Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
1.2232254499995896,1150,,,,-0.07076171875,0.005703125,-0.99896484375,0.0007111964176072198,0.07674475763520189,16.65327367782593,0.6310686373710632,3304,3305,10.50933015200175,0.29758950990107297,2.878331308068907,0.2874188684035926,0.0073265084903803256,0.23880859375,,
1.271603649999183,1200,,,,-0.066015625,0.00685546875,-0.99951171875,0.002527427232948361,0.25113000852478623,16.638906917572022,0.9276628613471984,5626,5626,15.435294816485174,1.489108115944517,9.663621183989356,0.17113549277174697,0.016290019957090087,0.40369140625,,
6.310764449999244,1245.4545454545444,,,,-0.07611328125,0.0200390625,-1.00162109375,0.0047551449042604515,0.48588210781417185,16.62073335647583,1.3099732303619385,7636,7636,21.772693571896603,3.8032572715671624,17.51250926010792,0.1292477726728275,0.022358560237717776,0.4914453125,,
11.321519549999298,1290.9090909090892,,,,-0.0766796875,0.003984375,-0.996484375,0.007464615323771215,0.7718385546936244,16.59683029174805,1.8000657093524932,9572,9572,29.875254419084207,7.483693827561382,25.179131480971396,0.10437560791158207,0.025925220914024768,0.3201171875,,
16.314565849999266,1336.3636363636354,,,,-0.07115234375,-0.00236328125,-0.9933984375,0.010666854798932993,1.1012977166802649,16.565991077423096,2.361437510251999,11347,11361,39.119400668547975,12.692335135900937,32.54016122296239,0.08714523476077332,0.02824146921871343,0.5670703125,,
21.312831249999203,1381.8181818181795,,,,-0.0993359375,0.01623046875,-1.0103515625,0.013940816472062127,1.4525777896747976,16.530758724212646,3.0066739535331726,13009,13008,49.70214453656103,18.991273134765276,38.33043446019651,0.07672722095717993,0.02930213624294684,0.4409375,,
26.30602319999922,1427.272727272725,,,,-0.0808203125,-0.0008203125,-0.996171875,0.017526135906125437,1.8258261417850803,16.486635990142823,3.7442979216575623,14530,14552,61.73073740013322,26.70835379649303,43.31928447369698,0.06846222458883953,0.029611226112935055,0.95798828125,,
31.332345649999173,1472.7272727272743,,,,-0.08396484375,-0.06787109375,-0.9771484375,0.021864071096335477,2.253679864090605,16.442285118103026,4.507169713973999,16086,16085,74.10788884676825,36.82889436208242,49.750091312807726,0.06129029289441359,0.030443819942890086,0.9276171875,,
36.291313449999095,1518.1818181818207,,,,-0.0778515625,-0.03201171875,-0.99103515625,0.02610565397167982,2.7366698397280382,16.38741937637329,5.48403395652771,17427,17541,89.8690509544671,47.95374333850751,53.400106040658486,0.05710031679984393,0.03047079576772613,1.5653515625,,
50.64462904999921,1563.636363636363,,,,-0.081484375,0.0071875,-1.03244140625,0.03154554371337156,3.2818892160300615,16.327207717895508,6.805920453071594,19111,19141,111.12145648834291,63.2320573786835,56.94644871532052,0.051925508028703646,0.02955881287322051,1.25267578125,,
65.92616234999923,1609.0909090909108,,,,-0.1011328125,0.01298828125,-1.00515625,0.03734258953246987,3.871947915926112,16.246155529022218,8.305516448020935,20714,20712,134.93257859555428,80.99537248443328,60.05592452133314,0.0478211483121621,0.02870586542928168,1.07833984375,,
82.17247814999921,1654.5454545454527,,,,-0.05822265625,0.032890625,-0.99048828125,0.04426688370444656,4.573753438542126,16.143667240142822,10.17171522140503,22264,22266,164.20835925161927,103.21912857522251,62.882524091365916,0.044327452557014396,0.027863583428280728,1.533359375,,
99.30823504999927,1700,,,,-0.21767578125,0.2091796875,-1.00232421875,0.05532771822832374,5.615877665165694,15.968670654296876,13.752058954238892,24501,24498,219.60070293751494,141.9425356836281,64.65221474056703,0.03957560299791924,0.025578317322270144,3.88833984375,,
