Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.21547575000000035,1000,,,,-0.0625,0.03154296875,-0.98515625,-0.0008327308621074789,0.04247524818111555,16.634011363983156,0.38853025287389753,0,0,6.462816992448566,0,0,0,0,0.05859375,,
0.2303762499999964,1000,,,,-0.0625,0.0314453125,-0.9880859375,-0.0008210102432825696,0.04271636829970883,16.63352003097534,0.38756471425294875,0,0,6.446565069982074,0,0,0,0,0.05859375,,
0.7220774999999962,1000,,,,-0.0625,0.031640625,-0.9865234375,-0.0008047286254482193,0.04247580206641641,16.6338623046875,0.38768078088760377,0,0,6.448629106451824,0,0,0,0,0.05859375,,
1.213813749999997,1000,,,,-0.0625,0.03203125,-0.98916015625,-0.0007885958764711628,0.04337143459789365,16.634188747406007,0.3853518530726433,0,0,6.410014886661972,0,0,0,0,0.05859375,,
1.7069744999999958,1000,,,,-0.0625,0.03134765625,-0.98671875,-0.0008417663525199638,0.04342294593087287,16.633908557891846,0.3861717566847801,0,0,6.423548121363493,0,0,0,0,0.05859375,,
2.197073999999997,1000,,,,-0.0625,0.03154296875,-0.98740234375,-0.000826233775316188,0.04087285800575151,16.633607578277587,0.3874572470784187,0,0,6.444810188679912,0,0,0,0,0.05859375,,
2.689160249999997,1000,,,,-0.0625,0.03154296875,-0.98642578125,-0.0008413794367678323,0.042121315473871296,16.634809589385988,0.38789730966091157,0,0,6.452593353621827,0,0,0,0,0.05859375,,
3.1794387499999965,1000,,,,-0.0625,0.03203125,-0.98720703125,-0.0008029708192200281,0.04317055424640725,16.634148788452148,0.3884330615401268,0,0,6.461252546597367,0,0,0,0,0.05859375,,
3.6644082499999975,1120,,,,-0.06962890625,0.03505859375,-0.99384765625,0.0033302962109513965,0.06476175101876373,16.623148441314697,0.7258329898118973,942,790,12.052681724747604,0.5576419319172916,4.924524544836816,0.025388686850351512,0.003474850245806144,0.07373046875,,
4.1552389999999955,1150,,,,-0.0541015625,0.00458984375,-0.99736328125,0.000214896539868378,0.12785389788090507,16.62629928588867,0.6146826386451721,3298,3297,10.219879098300527,0.12736943454763777,1.2639056433549491,0.18241730847183935,0.012531167656960492,0.144140625,,
4.638335999999997,1153.1856933333333,,,,-0.04921875,-0.00732421875,-0.984375,0.0005575535322776291,0.13331447304927946,16.625164413452147,0.6332063183188439,3409,3399,10.526893560293853,0.42901433636469255,4.348864544466823,0.25725111032821313,0.012906740667084754,0.2033203125,,
5.1016334999999975,1165.0432533333333,,,,-0.0564453125,0.03984375,-1.008984375,0.0012970664707641923,0.1616180119228027,16.623516845703126,0.6986631363630295,3883,3869,11.614230979288902,0.5268139663102024,4.539817757927461,0.3282325897709892,0.013906619772230781,0.209375,,
5.571453749999997,1177.5922533333332,,,,-0.06181640625,0.00888671875,-0.99638671875,0.0017250715082007223,0.20499848869823276,16.620694065093993,0.7679559618234635,4487,4474,12.763890267035993,0.8090252874661363,6.346479673591086,0.26568164549735757,0.016072936901626575,0.226953125,,
6.0371542499999995,1189.9924466666666,,,,-0.06435546875,0.01552734375,-1.00263671875,0.002210844196137218,0.25638316195627114,16.617096996307374,0.8484715044498443,5071,5061,14.099007832272036,1.1712029870394018,8.450369275135348,0.27090362091099357,0.018276830117272536,0.27451171875,,
6.511559999999998,1202.6364199999998,,,,-0.05693359375,-0.01015625,-1.00380859375,0.002867795797839162,0.31098610267211335,16.612819766998292,0.9657578229904175,5642,5629,16.043702833623474,1.6949711711788737,10.576376983371846,0.18644458591227556,0.019470247788707276,0.23134765625,,
6.9887857499999955,1215.3652733333333,,,,-0.06142578125,0.03505859375,-1.00107421875,0.003317072684403419,0.3707071235805483,16.60988826751709,1.034433513879776,6246,6239,17.181596627378354,2.1724296390152205,12.751450747917506,0.21363447660176735,0.021732641004259028,0.22548828125,,
7.4615325,1227.9826,,,,-0.06533203125,0.07021484375,-1.02451171875,0.003937510364604787,0.42607884324684014,16.605846214294434,1.1614815831184386,6793,6784,19.287297921734343,2.8004926053773547,14.583637768450444,0.15694392835165655,0.022127162657408887,0.24287109375,,
7.930366499999996,1240.4867600000002,,,,-0.04560546875,0.01259765625,-1.00068359375,0.004552579015790854,0.49185402435343967,16.601811695098878,1.2542244970798493,7330,7322,20.82234677019419,3.493011284403849,16.821206856844555,0.14134619398156484,0.023665955004264924,0.3208984375,,
8.399551999999996,1252.9893133333333,,,,-0.069921875,-0.01943359375,-1.0064453125,0.005275848022378365,0.55760685618815,16.596624755859374,1.3985479474067688,7884,7876,23.211144937348003,4.3549098702454,18.825533185751123,0.12898149676262996,0.024094370849586665,0.3486328125,,
8.871400749999996,1265.5682133333332,,,,-0.04931640625,-0.00146484375,-0.99638671875,0.006046276932141919,0.6340777424669193,16.590919399261473,1.553696882724762,8431,8426,25.776740130853057,5.342524609328709,20.91207516210568,0.12228708574347844,0.024711775888685256,0.28896484375,,
9.345603499999996,1278.2182400000002,,,,-0.05859375,0.02451171875,-1.00556640625,0.0067747893401609634,0.7137404758746416,16.586400318145753,1.638528972864151,8949,8944,27.177133382520218,6.352110430596677,23.46404751768774,0.11425180361790786,0.026314767767125123,0.26123046875,,
9.816540499999997,1290.7720666666667,,,,-0.05927734375,-0.02841796875,-0.9849609375,0.0076759508120441255,0.7986145360653553,16.58066987991333,1.795352029800415,9516,9510,29.767761703058067,7.646222583547472,25.833198346389327,0.10574043437195477,0.026995221996013626,0.2755859375,,
10.2937265,1303.4934399999997,,,,0.0078125,0.0236328125,-1,0.00863632692054587,0.8899280667637708,16.575818824768067,1.9098830461502074,10026,10020,31.65773758709029,9.066610007258243,28.70921718438521,0.09852312898163659,0.028185128373487817,0.4427734375,,
10.764798749999995,1316.0747466666667,,,,-0.007421875,-0.0783203125,-0.98515625,0.009524710222644043,0.9800717917067877,16.57000951766968,2.062136685848236,10528,10524,34.16938230941112,10.501148710437281,30.79617426051565,0.09368632803347489,0.02873678037199679,0.6939453125,,
11.231319249999997,1328.5040933333332,,,,-0.014453125,0.03671875,-1.00625,0.010120580900265136,1.0634462974518066,16.5618034362793,2.2398357033729552,11003,10999,37.094975587688964,11.663839112875934,31.53209131911212,0.09154290092151014,0.028776847605418758,0.716796875,,
11.698849249999999,1340.9854,,,,-0.083984375,-0.05029296875,-1.0076171875,0.011211643607778722,1.1517838024287463,16.556218528747557,2.343328094482422,11482,11478,38.796314223182094,13.481552165964057,34.89168870874063,0.08713564110411474,0.02974403561724657,0.68779296875,,
12.16706125,1353.4526266666667,,,,-0.08701171875,0.02421875,-0.9990234375,0.01213141113011542,1.2572214082988806,16.548179340362548,2.5496041536331178,11944,11938,42.19107133231584,15.170622757392858,36.0237610301184,0.08295219700076069,0.029847537402270908,0.607421875,,
12.633724999999995,1365.9093666666668,,,,-0.09736328125,0.08818359375,-1.00263671875,0.013066099107657232,1.3681620515692665,16.540366458892823,2.7131275177001952,12393,12391,44.87590342795848,16.96074410103413,37.80344894979928,0.08076472525173924,0.030513299391109576,0.66943359375,,
13.103458749999996,1378.4255666666666,,,,-0.06953125,0.0494140625,-0.99150390625,0.01400591673913768,1.4473947899708053,16.53391876220703,2.921896779537201,12773,12836,48.31014854408477,18.82942387815102,39.04970173335899,0.07693289343580627,0.030017611276212094,0.8279296875,,
13.572204499999998,1390.93002,,,,-0.07783203125,0.006640625,-0.991796875,0.015154578429324148,1.563557276921332,16.525525665283205,3.111849844455719,13264,13273,51.42480958704816,21.067598943987985,41.03556582754803,0.07430268245830188,0.030457227462391368,0.84208984375,,
14.043832749999996,1403.5042599999997,,,,-0.059375,0.13603515625,-1.0251953125,0.01595384208414514,1.6546198975784623,16.515983200073244,3.2927406072616576,13698,13698,54.38259429278848,22.889836037268836,42.145569346738895,0.07236145565991295,0.03045418015531322,1.033203125,,
14.515858499999997,1416.09042,,,,-0.06064453125,-0.0583984375,-0.99638671875,0.017128747608750994,1.7726138962826166,16.505427265167235,3.506838858127594,14124,14119,57.881637462926236,25.33453868793718,43.81182551266381,0.07007358814014644,0.030663494066666002,0.9943359375,,
14.993436749999997,1428.8188266666666,,,,-0.04150390625,-0.14697265625,-0.9814453125,0.01821410490916678,1.889476681189709,16.494868755340576,3.76502240896225,14578,14572,62.10324486777351,27.7989788347736,44.80361825714799,0.0680196883200484,0.03044781854092298,1.08076171875,,
15.465719749999996,1441.4259599999998,,,,0.011328125,-0.0771484375,-0.98408203125,0.019274997628716584,1.9931905960035932,16.48543577194214,3.946621370315552,15023,15021,65.06009488218463,30.322634370683666,46.84432689187833,0.0659650978452039,0.03077848575772378,1.08681640625,,
15.941905749999998,1454.1106866666669,,,,-0.16484375,0.03564453125,-1.0138671875,0.020422633032887,2.1128652696468206,16.472449016571044,4.207568430900574,15434,15427,69.30850994181091,32.998437762483476,47.65391650308335,0.06410913550860933,0.030522917675767463,1.0078125,,
16.416820749999996,1466.78098,,,,0.03349609375,-0.0283203125,-1.02548828125,0.02157506167729579,2.218635206697467,16.462618923187257,4.445763015747071,15842,15840,73.18804750355557,35.79591329774537,48.98482986774075,0.06208774043720346,0.030369072698531265,1.02314453125,,
16.890354,1479.4039799999998,,,,-0.00341796875,0.19677734375,-0.992578125,0.02270931426649988,2.354388062853818,16.452555656433105,4.674426889419555,16231,16227,76.90568901965052,38.59373298871101,50.224792320728554,0.06102783122436008,0.030637724389383163,1.3626953125,,
17.3692945,1492.1836866666667,,,,-0.05341796875,0.0412109375,-1.00576171875,0.024127814685003923,2.505085852197751,16.437521076202394,4.966760563850403,16648,16643,81.64094448621886,42.0548939715162,51.59403082022916,0.05959165035141998,0.030744720160199884,1.4916015625,,
17.839145500000004,1504.7082533333332,,,,-0.040234375,-0.05888671875,-0.98095703125,0.02494728552346494,2.6056492674203904,16.430083751678467,5.175806951522827,17004,17003,85.03910474506274,44.42234923655323,52.283465024578504,0.05866940218890743,0.03067501178493385,1.23642578125,,
18.310225,1517.2831866666663,,,,-0.0814453125,0.04345703125,-1.00966796875,0.02668296870321931,2.715955339879614,16.41381130218506,5.550946927070617,17466,17464,91.11148073454642,48.7983880942097,53.623914522342645,0.05569449901290779,0.02983185707756325,0.997265625,,
18.781248499999993,1529.8349600000001,,,,-0.0880859375,0.03544921875,-0.99814453125,0.028395665335702824,2.89131561133467,16.40086736679077,5.848426485061646,17906,17903,95.91868544933172,53.239633842697195,55.52698276826568,0.05435684256473091,0.03015791594474881,0.8943359375,,
19.258343,1542.5494733333335,,,,-0.12099609375,0.00634765625,-1.01025390625,0.02957854680837349,3.028856963127471,16.382573413848878,6.146437883377075,18340,18333,100.69410336437181,56.79462167247074,56.43629293972956,0.05336185431533769,0.030096596439543502,0.9611328125,,
19.73628075,1555.2889666666667,,,,-0.0796875,-0.1837890625,-0.98388671875,0.031624445855650746,3.2311068880820217,16.367564964294434,6.60940842628479,18794,18796,108.17896818994241,62.25225068737383,57.58274857193568,0.051944479256643465,0.02989010039325723,1.43984375,,
20.212797249999998,1568.00458,,,,-0.10732421875,0.12333984375,-1.0154296875,0.032858702319439076,3.343777866976835,16.350691032409667,6.968610000610352,19230,19224,113.94096390137148,66.15288703805712,58.10596386730223,0.0505762594444773,0.02936640097514499,1.5966796875,,
20.690689499999998,1580.747933333333,,,,-0.0861328125,0.034375,-0.9779296875,0.03441843378013912,3.5189950508188708,16.33284215927124,7.401817679405212,19657,19653,120.8917791929437,70.84034860082936,58.66835259948258,0.04969888276477119,0.029137124354879262,1.47021484375,,
21.167384500000004,1593.4661133333334,,,,-0.0248046875,-0.05,-0.98154296875,0.036091186260700105,3.694057700661971,16.315652942657472,7.8039086103439335,19956,20092,127.32504695493758,75.94145042225534,59.655085347923304,0.0486639482604984,0.029017981892989344,1.2880859375,,
21.64123025,1606.1032133333333,,,,-0.09990234375,-0.1515625,-1.03955078125,0.03801568905069572,3.8748663566161072,16.292422199249266,8.23148317337036,20402,20540,134.11018691039808,81.77849806066203,60.99469287215798,0.04740106326157929,0.02890532556753084,1.115234375,,
22.112549499999993,1618.669833333333,,,,-0.08759765625,0.0453125,-0.99541015625,0.03980832991990475,4.066289116590463,16.27131414413452,8.766783189773559,21015,21007,142.64472816837824,87.5797613110062,61.477387386723635,0.046449387528774214,0.028532486922410925,0.99755859375,,
22.58521625,1631.2776466666664,,,,-0.08017578125,0.02109375,-1.0130859375,0.0418134652546285,4.233945212190574,16.24922094345093,9.19619174003601,21423,21427,149.42996875839043,93.82744222382317,62.82516106920012,0.04513800840959621,0.0283466315310828,0.88232421875,,
23.061840499999995,1643.9838666666667,,,,-0.02919921875,0.05048828125,-1.0212890625,0.043512619285207915,4.4211948168338076,16.223948001861572,9.7768404006958,21877,21875,158.6178011221553,99.68481067965078,62.862852245702086,0.04437595549472123,0.027882966947385613,0.93779296875,,
23.531685,1656.501093333333,,,,-0.22373046875,0.0333984375,-0.977734375,0.045852925898255764,4.6403552283787235,16.196031761169433,10.606801271438599,22386,22379,171.77641762277534,107.49244423138148,62.65095701814575,0.04321388935101878,0.027054719891709954,1.46572265625,,
24.00749625,1669.204806666667,,,,0.13798828125,0.084375,-1.176171875,0.0505412102500707,5.034793747686986,16.142100620269776,11.954634952545167,23310,23307,192.97037279891612,123.37125362263725,63.952003951496195,0.040824580968852185,0.026100811388052546,2.32685546875,,
24.483793,1681.90324,,,,-0.81337890625,0.3484375,-0.89873046875,0.05340502821440306,5.262572251025927,16.11033515930176,12.599763441085816,23782,23775,202.98436515719314,132.97208116412295,65.50536583260431,0.03959298503426877,0.02592963981302346,3.68076171875,,
24.95008825,1694.3411466666664,,,,2.11748046875,-0.43857421875,-1.34228515625,0.056031619874529245,5.498904031193342,16.07078790664673,13.507051038742066,24232,24222,217.0651718085487,142.13488265393667,65.50147205132829,0.03869197245132808,0.025339486444394457,4.93779296875,,
25.428155500000003,1707.0754733333335,,,,-0.182421875,-0.062890625,-0.89716796875,0.05959001076864939,5.8562785816970875,16.027726554870604,14.544560956954957,24866,24866,233.106729592992,155.2016534889644,66.67153595589046,0.03777594203787434,0.025151614659704766,5.00068359375,,
25.897418000000005,1719.6057733333334,,,,-0.23603515625,0.0138671875,-1.00244140625,0.062326122203367085,6.159059427522384,15.99419379234314,15.352518796920776,25212,25370,245.547353598368,165.59298466830447,67.47275569301307,0.03721619849832707,0.025090835824219344,4.4115234375,,
26.36831375,1732.1577800000002,,,,-0.1447265625,0.078515625,-1.00224609375,0.06484398675868448,6.429326098417082,15.956153297424317,16.17174859046936,25815,25810,258.0363156834211,175.27243099642854,67.93516704325707,0.036690477140065354,0.02492086380072027,3.619140625,,
26.83663925,1744.645046666666,,,,0.04208984375,-0.13271484375,-0.99052734375,0.06807076016567482,6.748736796515149,15.916037845611573,17.086031913757324,26256,26250,271.9381791816494,187.13664887439347,68.8130973648517,0.036076438225183555,0.024818335512928103,2.894140625,,
27.307107999999992,1757.1972933333334,,,,0.088671875,-0.10048828125,-0.978125,0.0705371024590095,7.022048728793929,15.87048511505127,18.0322208404541,26558,26718,286.17621615827693,197.3787606653717,68.97254503875685,0.03558944897149163,0.02453925751007838,2.575390625,,
27.778163249999995,1769.7568400000005,,,,0.1453125,-0.02080078125,-0.91884765625,0.07328934673248491,7.311701565231161,15.829710245132446,18.940621757507323,27151,27153,299.8210910912627,208.4088172930422,69.50927572946455,0.03508893060101393,0.02438849718885538,2.126953125,,
28.245504999999998,1782.2162133333336,,,,-0.0876953125,-0.17001953125,-1.0037109375,0.07623229071656659,7.63203097903062,15.78592882156372,19.94789047241211,27380,27574,314.89071242339077,220.14413737487612,69.91761727318213,0.034681612157767175,0.024241154753879415,2.0421875,,
28.714552750000003,1794.724206666667,,,,-0.05673828125,-0.0740234375,-1.02021484375,0.0791664771648227,7.878087129565233,15.739794731140137,20.95278787612915,27955,27955,329.78774752107364,231.77685526475358,70.27735089455084,0.034001361585137224,0.023890673824603373,1.959765625,,
29.1908075,1807.4193533333332,,,,-0.05,0.009765625,-1.039453125,0.08137083384087401,8.087087273396527,15.6941162109375,21.883382320404053,28362,28360,343.4354609706687,241.66816738217034,70.37487538823639,0.03346842128824273,0.023550941703616317,1.715234375,,
29.67105675,1820.2186400000003,,,,-0.1060546875,0.11162109375,-1.02939453125,0.08431198236552784,8.354503456673188,15.644635200500488,22.946309280395507,28761,28756,358.98078781319737,253.89966053393837,70.73904275082613,0.03291394160559546,0.023276281007626274,1.5115234375,,
30.142320999999992,1832.7988800000003,,,,-0.06669921875,0.06962890625,-1.003515625,0.08728485005078183,8.572848919466047,15.601722192764282,23.891031074523926,29089,29084,372.736477007384,265.849116974373,71.33148730114348,0.03225296961151929,0.023001101715761387,1.4080078125,,
30.615823999999996,1845.4234533333333,,,,-0.04521484375,-0.019921875,-0.9859375,0.08923538218187986,8.826705990577855,15.555693626403809,24.847596740722658,29454,29447,386.5171025683224,275.1799140915977,71.20577450072103,0.03208300984010057,0.02283824770182064,1.52158203125,,
31.09106775,1858.0899333333332,,,,-0.110546875,0.03984375,-1.069921875,0.09219824892535064,9.010765787082399,15.509435176849365,25.912809658050538,29711,29707,401.8892338085358,286.8278806113678,71.36961652603067,0.03142154394085799,0.022422021964607526,1.71865234375,,
31.569869249999993,1870.8559,,,,-0.12119140625,-0.01015625,-1.00927734375,0.09500247441317972,9.254317628312007,15.459740161895752,26.94110698699951,30004,30003,416.4985185802303,298.4895297843543,71.67061674846589,0.031009913915797965,0.022218982799956814,2.07177734375,,
