ESC signal (µs),Thrust (kgf),Thrust (N),Norm RPM^2,RPM,Voltage (V),Current (A)
1000,0,0.00,0.00,0,100.67,0
1000,0,0.00,0.00,0,100.67,0
1000,0,0.00,0.00,0,100.67,0
1000,0,0.00,0.00,0,100.68,0
1000,0,0.00,0.00,0,100.68,0
1000,0,0.00,0.00,0,100.68,0
1000,0,0.00,0.00,0,100.68,0
1000,0,0.00,0.00,0,100.68,0
1000,0,0.00,0.00,0,100.68,0
1000,0,0.00,0.00,0,100.68,0
1000,0,0.00,0.00,0,100.68,0
1000,0,0.00,0.00,0,100.67,0
1000,0,0.00,0.00,0,100.67,0
1000,0,0.00,0.00,0,100.68,0
1000,0,0.00,0.00,0,100.68,0
1000,0,0.00,0.00,0,100.68,0
1000,0,0.00,0.00,0,100.67,0
1000,0,0.00,0.00,0,100.67,0
1000,0,0.00,0.00,0,100.68,0
1000,0,0.00,0.00,0,100.68,0
1000,0,0.00,0.00,0,100.68,0
1000,0,0.00,0.00,0,100.68,0
1002,0,0.00,0.00,0,100.68,0
1002,0,0.00,0.00,0,100.67,0
1004,0,0.00,0.00,0,100.67,0
1006,0,0.00,0.00,0,100.67,0
1008,0,0.00,0.00,0,100.68,0
1012,0,0.00,0.00,0,100.68,0
1014,0,0.00,0.00,0,100.68,0
1016,0,0.00,0.00,0,100.68,0
1018,0,0.00,0.00,0,100.68,0
1020,0,0.00,0.00,0,100.67,0
1022,0,0.00,0.00,0,100.67,0
1024,0,0.00,0.00,0,100.68,0
1026,0,0.00,0.00,0,100.68,0
1028,0,0.00,0.00,0,100.68,0
1030,0,0.00,0.00,0,100.68,0
1032,0,0.00,0.00,0,100.68,0
1034,0,0.00,0.00,0,100.68,0
1036,0,0.00,0.00,0,100.68,0
1038,0,0.00,0.00,0,100.68,0
1040,0,0.00,0.00,0,100.67,0
1042,0,0.00,0.00,0,100.67,0
1044,0,0.00,0.00,0,100.68,0
1046,0,0.00,0.00,0,100.68,0
1048,0,0.00,0.00,0,100.68,0
1050,0,0.00,0.00,0,100.68,0
1052,0,0.00,0.00,0,100.68,0
1054,0,0.00,0.00,0,100.68,0
1056,0,0.00,0.00,0,100.68,0
1058,0,0.00,0.00,0,100.68,0
1060,0,0.00,0.00,0,100.67,0
1062,0,0.00,0.00,0,100.67,0
1064,0,0.00,0.00,0,100.67,0
1066,0,0.00,0.00,0,100.68,0
1068,0,0.00,0.00,0,100.68,0
1070,0,0.00,0.00,0,100.68,0
1072,0,0.00,0.00,0,100.68,0
1074,0,0.00,0.00,0,100.68,0
1076,0,0.00,0.00,0,100.67,0
1078,0,0.00,0.00,0,100.67,0
1082,0,0.00,0.00,0,100.67,0
1082,0,0.00,0.00,0,100.67,0
1084,0,0.00,0.00,0,100.67,0
1086,0,0.00,0.00,0,100.67,0
1088,0,0.00,0.00,0,100.67,0
1090,0,0.00,0.00,0,100.67,0
1092,0,0.00,0.00,0,100.61,0
1094,0,0.00,0.00,0,100.61,0
1096,0.04523038198,0.44,0.09,118,100.58,1.59
1098,0.04523038198,0.44,0.09,118,100.58,1.59
1102,0.04523038198,0.44,0.09,118,100.58,1.59
1104,0.9542558125,9.35,1.84,542,100.56,2.01
1106,0.9542558125,9.35,1.84,542,100.56,2.01
1108,1.9510556,19.12,3.75,775,100.54,2.23
1110,1.9510556,19.12,3.75,775,100.54,2.23
1112,1.9510556,19.12,3.75,775,100.54,2.23
1114,2.286599807,22.41,4.40,839,100.54,2.39
1116,2.286599807,22.41,4.40,839,100.54,2.39
1118,2.286599807,22.41,4.40,839,100.54,2.39
1120,2.504120783,24.54,4.82,878,100.55,2.43
1122,2.504120783,24.54,4.82,878,100.55,2.43
1124,2.631184243,25.79,5.06,900,100.54,2.58
1126,2.631184243,25.79,5.06,900,100.54,2.58
1128,2.631184243,25.79,5.06,900,100.54,2.58
1130,2.785404124,27.30,5.36,926,100.52,2.74
1132,2.785404124,27.30,5.36,926,100.52,2.74
1134,2.968807411,29.09,5.71,956,100.49,2.92
1136,2.968807411,29.09,5.71,956,100.49,2.92
1138,2.968807411,29.09,5.71,956,100.49,2.92
1142,3.183732935,31.20,6.12,990,100.48,3.04
1142,3.183732935,31.20,6.12,990,100.48,3.04
1144,3.33338235,32.67,6.41,1013,100.46,3.12
1146,3.33338235,32.67,6.41,1013,100.46,3.12
1150,3.33338235,32.67,6.41,1013,100.46,3.12
1152,3.459597985,33.90,6.65,1032,100.45,3.33
1154,3.459597985,33.90,6.65,1032,100.45,3.33
1156,3.459597985,33.90,6.65,1032,100.45,3.33
1158,3.684388825,36.11,7.09,1065,100.43,3.65
1160,3.684388825,36.11,7.09,1065,100.43,3.65
1162,4.19201573,41.08,8.06,1136,100.4,3.98
1164,4.19201573,41.08,8.06,1136,100.4,3.98
1166,4.19201573,41.08,8.06,1136,100.4,3.98
1168,4.378553699,42.91,8.42,1161,100.39,4.11
1170,4.378553699,42.91,8.42,1161,100.39,4.11
1172,4.530707613,44.40,8.71,1181,100.37,4.2
1174,4.530707613,44.40,8.71,1181,100.37,4.2
1176,4.530707613,44.40,8.71,1181,100.37,4.2
