Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.22037799999999916,1000,,,,-0.06171875,0.03193359375,-0.990234375,-0.0017907169290443264,0.06776099838147824,16.78092384338379,0.42789229154586794,0,0,7.180431222043697,0,0,0,0,0.060546875,,
0.23767375000000027,1000,,,,-0.0625,0.0314453125,-0.9884765625,-0.0018580091717624997,0.06856047642472764,16.780809593200683,0.4288624569773674,0,0,7.196658922574775,0,0,0,0,0.06044921875,,
0.7428942499999998,1000,,,,-0.0625,0.031640625,-0.98642578125,-0.0018002044900441417,0.06691488319589717,16.78078203201294,0.42791845053434374,0,0,7.180806844170379,0,0,0,0,0.05859375,,
1.2376044999999993,1000,,,,-0.0625,0.03232421875,-0.98740234375,-0.0018379318761869794,0.06761720975737716,16.78094310760498,0.43007095754146574,0,0,7.216996434744959,0,0,0,0,0.05859375,,
1.7372664999999987,1000,,,,-0.0625,0.0318359375,-0.98818359375,-0.0018535740905943204,0.06826027059166602,16.78029613494873,0.4289851114153862,0,0,7.198496839245959,0,0,0,0,0.05859375,,
2.2309979999999987,1000,,,,-0.0625,0.03212890625,-0.9904296875,-0.0018128678296359987,0.06633035419077583,16.780699634552,0.4299700066447258,0,0,7.215195446303528,0,0,0,0,0.05859375,,
2.724672749999999,1000,,,,-0.0625,0.03232421875,-0.98857421875,-0.001853820361176671,0.06833116791017503,16.78101816177368,0.42753528505563737,0,0,7.1744789144652374,0,0,0,0,0.05859375,,
3.21613875,1000,,,,-0.0625,0.03193359375,-0.98984375,-0.0018079017481739735,0.06690084220352056,16.78089084625244,0.4275761678814888,0,0,7.175113647015285,0,0,0,0,0.0591796875,,
3.7128277499999998,1135,,,,-0.06376953125,0.02177734375,-0.9958984375,0.0020578352170025497,0.09522488868030789,16.76672954559326,0.8102681487798691,1247,1100,13.569188441069159,0.41131209785186523,3.349164846471966,0.10115021522392399,0.004977030502789029,0.08564453125,,
4.212647249999999,1150,,,,-0.083203125,0.0455078125,-1.0087890625,-0.0008202454999990451,0.14673381225845983,16.771360015869142,0.6760767370462417,3317,3317,11.33870606371973,0.2878028730037848,2.5296407023538565,0.45981774085742294,0.012972473799561903,0.17236328125,,
4.695589250000001,1154.2278750000003,,,,-0.08212890625,0.07705078125,-1.00634765625,-0.0003329282168939414,0.15040256847857886,16.770604515075682,0.6937125027179718,3424,3414,11.633962357665553,0.16706738782323508,1.464208093244819,0.22988178884367466,0.012929650452350125,0.24443359375,,
5.15780075,1165.6512749999997,,,,-0.05751953125,-0.00830078125,-1.001171875,0.0002741919968979022,0.18229528410162135,16.767003536224365,0.7637983083724975,3957,3942,12.806582838853512,0.15978456355098727,1.2566937122955435,0.19218884983232745,0.01423128578587431,0.25205078125,,
5.632630000000001,1177.5027562500002,,,,-0.05732421875,0.01083984375,-0.99306640625,0.000689875769344877,0.21835100164586532,16.76449375152588,0.8416617244482041,4518,4506,14.110008682180261,0.3278350763274598,2.348499492788458,0.520514248759703,0.01547510304540886,0.26474609375,,
6.099961500000001,1189.2011374999997,,,,-0.0537109375,0.017578125,-0.9984375,0.0012382380732117151,0.2609580745285836,16.761819553375243,0.9032040596008301,5055,5044,15.13932739329736,0.6578095743896755,4.346663711908844,0.4328116626183781,0.017245458483472902,0.29736328125,,
6.5746325,1201.0515812500003,,,,-0.0291015625,-0.07255859375,-0.9896484375,0.001776779849567829,0.31234810662690776,16.759423446655273,0.9666428387165069,5638,5628,16.20031583153152,1.0494499259192556,6.487070270048162,0.3092872236148127,0.019304686479616612,0.3087890625,,
7.04567775,1212.82253125,,,,-0.079296875,-0.04990234375,-0.98720703125,0.00230453254773425,0.3676797665388155,16.756199073791503,1.0548924058675766,6174,6166,17.67589794645911,1.4915034408110293,8.480430565303369,0.26101360764694914,0.020848694984251914,0.37724609375,,
7.52058575,1224.7303875000002,,,,-0.0798828125,-0.03330078125,-0.9849609375,0.0027614226347112804,0.4299052767649791,16.751454257965086,1.1697030425071717,6723,6714,19.594092609097252,1.943633878544193,9.96343844797059,0.23446658827425668,0.022011554715186447,0.42294921875,,
